molecule_chembl_id,M,N
CHEMBL102177,1,3705
CHEMBL102178,2,3705
CHEMBL102179,1,3705
CHEMBL10218,3,3705
CHEMBL102182,1,3705
CHEMBL102183,1,3705
CHEMBL102184,1,3705
CHEMBL102185,1,3705
CHEMBL102186,2,3705
CHEMBL102191,1,3705
CHEMBL102194,3,3705
CHEMBL102197,1,3705
CHEMBL102199,1,3705
CHEMBL1022,3,3705
CHEMBL102200,1,3705
CHEMBL102207,1,3705
CHEMBL102209,1,3705
CHEMBL102216,4,3705
CHEMBL102217,1,3705
CHEMBL10222,1,3705
CHEMBL102222,1,3705
CHEMBL102223,1,3705
CHEMBL102226,1,3705
CHEMBL10224,2,3705
CHEMBL102241,1,3705
CHEMBL102243,1,3705
CHEMBL102246,1,3705
CHEMBL102250,4,3705
CHEMBL102252,1,3705
CHEMBL102257,1,3705
CHEMBL102260,1,3705
CHEMBL102268,2,3705
CHEMBL102270,1,3705
CHEMBL102274,2,3705
CHEMBL102275,2,3705
CHEMBL102276,1,3705
CHEMBL102279,1,3705
CHEMBL10228,1,3705
CHEMBL102283,1,3705
CHEMBL102291,1,3705
CHEMBL102292,2,3705
CHEMBL1023,13,3705
CHEMBL10230,1,3705
CHEMBL102301,2,3705
CHEMBL102303,1,3705
CHEMBL102305,1,3705
CHEMBL102307,2,3705
CHEMBL10231,1,3705
CHEMBL102311,2,3705
CHEMBL102314,2,3705
CHEMBL102316,3,3705
CHEMBL102317,2,3705
CHEMBL102319,2,3705
CHEMBL102323,1,3705
CHEMBL102326,1,3705
CHEMBL102327,2,3705
CHEMBL102329,1,3705
CHEMBL102330,1,3705
CHEMBL102331,3,3705
CHEMBL102332,1,3705
CHEMBL102335,1,3705
CHEMBL102341,1,3705
CHEMBL102344,1,3705
CHEMBL102345,3,3705
CHEMBL102346,4,3705
CHEMBL102347,6,3705
CHEMBL102356,1,3705
CHEMBL102360,1,3705
CHEMBL102362,1,3705
CHEMBL102364,1,3705
CHEMBL10237,1,3705
CHEMBL102373,1,3705
CHEMBL102374,1,3705
CHEMBL102376,2,3705
CHEMBL102382,1,3705
CHEMBL102383,1,3705
CHEMBL102384,3,3705
CHEMBL102385,2,3705
CHEMBL102387,1,3705
CHEMBL10239,1,3705
CHEMBL102390,1,3705
CHEMBL102396,1,3705
CHEMBL1024,1,3705
CHEMBL10240,1,3705
CHEMBL102400,1,3705
CHEMBL102401,3,3705
CHEMBL102403,4,3705
CHEMBL102405,2,3705
CHEMBL102406,2,3705
CHEMBL102409,1,3705
CHEMBL10241,1,3705
CHEMBL102411,2,3705
CHEMBL102414,2,3705
CHEMBL102415,5,3705
CHEMBL102416,4,3705
CHEMBL102417,1,3705
CHEMBL102418,1,3705
CHEMBL102426,4,3705
CHEMBL102427,1,3705
CHEMBL102429,3,3705
CHEMBL102430,3,3705
CHEMBL102434,1,3705
CHEMBL102437,1,3705
CHEMBL102438,5,3705
CHEMBL102441,4,3705
CHEMBL102447,1,3705
CHEMBL102452,3,3705
CHEMBL102459,4,3705
CHEMBL10246,1,3705
CHEMBL102461,1,3705
CHEMBL102463,1,3705
CHEMBL102469,2,3705
CHEMBL10247,8,3705
CHEMBL102471,1,3705
CHEMBL102474,1,3705
CHEMBL10248,1,3705
CHEMBL102482,2,3705
CHEMBL102483,2,3705
CHEMBL102486,1,3705
CHEMBL102487,1,3705
CHEMBL10249,1,3705
CHEMBL102490,4,3705
CHEMBL102491,1,3705
CHEMBL102497,3,3705
CHEMBL102499,1,3705
CHEMBL1025,3,3705
CHEMBL102500,1,3705
CHEMBL102502,3,3705
CHEMBL102504,3,3705
CHEMBL102506,1,3705
CHEMBL10251,2,3705
CHEMBL102511,1,3705
CHEMBL102519,1,3705
CHEMBL10252,1,3705
CHEMBL102521,1,3705
CHEMBL102522,1,3705
CHEMBL102524,1,3705
CHEMBL102525,1,3705
CHEMBL102526,1,3705
CHEMBL102527,1,3705
CHEMBL102529,1,3705
CHEMBL102533,2,3705
CHEMBL102536,2,3705
CHEMBL102537,1,3705
CHEMBL10254,1,3705
CHEMBL102541,3,3705
CHEMBL102546,1,3705
CHEMBL102548,2,3705
CHEMBL102550,1,3705
CHEMBL102552,5,3705
CHEMBL102554,1,3705
CHEMBL102560,1,3705
CHEMBL102566,1,3705
CHEMBL102569,1,3705
CHEMBL10257,3,3705
CHEMBL102574,1,3705
CHEMBL102578,1,3705
CHEMBL10258,1,3705
CHEMBL102580,1,3705
CHEMBL102581,1,3705
CHEMBL102582,2,3705
CHEMBL102586,2,3705
CHEMBL102588,1,3705
CHEMBL102589,1,3705
CHEMBL102595,1,3705
CHEMBL102599,1,3705
CHEMBL1026,2,3705
CHEMBL102602,1,3705
CHEMBL10261,1,3705
