acc,gene
P20073,ANXA7
P13928,ANXA8
Q5VT79,ANXA8L1
O76027,ANXA9
P28039,AOAH
P19801,AOC1
O75106,AOC2
Q16853,AOC3
Q8N6M6,AOPEP
Q06278,AOX1
Q63HQ0,AP1AR
Q10567,AP1B1
O43747,AP1G1
O75843,AP1G2
Q9BXS5,AP1M1
Q9Y6Q5,AP1M2
P61966,AP1S1
P56377,AP1S2
Q96PC3,AP1S3
O95782,AP2A1
O94973,AP2A2
P63010,AP2B1
Q96CW1,AP2M1
P53680,AP2S1
O00203,AP3B1
Q13367,AP3B2
O14617,AP3D1
Q9Y2T2,AP3M1
P53677,AP3M2
Q92572,AP3S1
P59780,AP3S2
Q9Y6B7,AP4B1
Q9UPM8,AP4E1
O00189,AP4M1
Q9Y587,AP4S1
Q2VPB7,AP5B1
Q9H0R1,AP5M1
Q9NUS5,AP5S1
O43299,AP5Z1
O14727,APAF1
Q02410,APBA1
Q99767,APBA2
O96018,APBA3
O00213,APBB1
Q7Z5R6,APBB1IP
Q92870,APBB2
O95704,APBB3
P25054,APC
O95996,APC2
Q8J025,APCDD1
Q8NCL9,APCDD1L
P02743,APCS
P13798,APEH
P0DMC3,APELA
P27695,APEX1
Q9UBZ4,APEX2
Q96BI3,APH1A
Q8WW43,APH1B
Q9BZZ5,API5
Q96GX9,APIP
Q8IW19,APLF
Q9ULZ1,APLN
P35414,APLNR
P51693,APLP1
Q06481,APLP2
Q9HDC9,APMAP
P02647,APOA1
P02652,APOA2
P06727,APOA4
Q6Q788,APOA5
P04114,APOB
P41238,APOBEC1
Q9Y235,APOBEC2
P31941,APOBEC3A
Q9UH17,APOBEC3B
Q9NRW3,APOBEC3C
Q96AK3,APOBEC3D
Q8IUX4,APOBEC3F
Q9HC16,APOBEC3G
Q6NTF7,APOBEC3H
Q8WW27,APOBEC4
Q0VD83,APOBR
P02654,APOC1
P02655,APOC2
P02656,APOC3
P55056,APOC4
P05090,APOD
P02649,APOE
Q13790,APOF
P02749,APOH
O14791,APOL1
Q9BQE5,APOL2
O95236,APOL3
Q9BPW4,APOL4
Q9BWW9,APOL5
Q9BWW8,APOL6
Q96LR9,APOLD1
O95445,APOM
Q9BUR5,APOO
Q6UXV4,APOOL
P05067,APP
Q92624,APPBP2
Q9UKG1,APPL1
Q8NEU8,APPL2
Q8IVJ8,APRG1
P07741,APRT
Q7Z2E3,APTX
P29972,AQP1
Q96PS8,AQP10
Q8NBQ7,AQP11
Q8IXF9,AQP12A
A6NM10,AQP12B
P41181,AQP2
Q92482,AQP3
P55087,AQP4
P55064,AQP5
Q13520,AQP6
O14520,AQP7
A6NL99,AQP7P3
O94778,AQP8
O43315,AQP9
O60306,AQR
P10275,AR
P10398,ARAF
Q96P48,ARAP1
Q8WZ64,ARAP2
Q8WWN8,ARAP3
Q7LC44,ARC
P48444,ARCN1
P15514,AREG
O15033,AREL1
P84077,ARF1
P61204,ARF3
P18085,ARF4
P84085,ARF5
P62330,ARF6
Q8N6T3,ARFGAP1
Q8N6H7,ARFGAP2
Q9NP61,ARFGAP3
Q9Y6D6,ARFGEF1
Q9Y6D5,ARFGEF2
Q5TH69,ARFGEF3
P53367,ARFIP1
P53365,ARFIP2
Q13795,ARFRP1
P05089,ARG1
P78540,ARG2
A6NJG6,ARGFX
Q9NWB6,ARGLU1
Q07960,ARHGAP1
A1A4S6,ARHGAP10
Q6P4F7,ARHGAP11A
Q3KRB8,ARHGAP11B
Q8IWW6,ARHGAP12
Q53QZ3,ARHGAP15
Q68EM7,ARHGAP17
Q8N392,ARHGAP18
Q14CB8,ARHGAP19
Q9P2F6,ARHGAP20
Q5T5U3,ARHGAP21
Q7Z5H3,ARHGAP22
Q9P227,ARHGAP23
Q8N264,ARHGAP24
P42331,ARHGAP25
Q9UNA1,ARHGAP26
Q6ZUM4,ARHGAP27
Q9P2N2,ARHGAP28
Q52LW3,ARHGAP29
Q7Z6I6,ARHGAP30
Q2M1Z3,ARHGAP31
A7KAX9,ARHGAP32
O14559,ARHGAP33
Q9NRY4,ARHGAP35
Q6ZRI8,ARHGAP36
Q9C0H5,ARHGAP39
P98171,ARHGAP4
Q5TG30,ARHGAP40
A6NI28,ARHGAP42
Q17R89,ARHGAP44
Q92619,ARHGAP45
Q13017,ARHGAP5
Q96IT6,ARHGAP5-AS1
O43182,ARHGAP6
P85298,ARHGAP8
Q9BRR9,ARHGAP9
P52565,ARHGDIA
P52566,ARHGDIB
Q99819,ARHGDIG
Q92888,ARHGEF1
O15013,ARHGEF10
Q9HCE6,ARHGEF10L
O15085,ARHGEF11
Q9NZN5,ARHGEF12
O94989,ARHGEF15
Q5VV41,ARHGEF16
Q96PE2,ARHGEF17
Q6ZSZ5,ARHGEF18
Q8IW93,ARHGEF19
Q92974,ARHGEF2
Q86VW2,ARHGEF25
Q96DR7,ARHGEF26
Q8N1W1,ARHGEF28
Q9NR81,ARHGEF3
A8MVX0,ARHGEF33
A5YM69,ARHGEF35
A1IGU5,ARHGEF37
Q9NXL2,ARHGEF38
Q8N4T4,ARHGEF39
Q9NR80,ARHGEF4
Q8TER5,ARHGEF40
Q12774,ARHGEF5
Q15052,ARHGEF6
Q14155,ARHGEF7
O43307,ARHGEF9
O14497,ARID1A
Q8NFD5,ARID1B
Q68CP9,ARID2
Q99856,ARID3A
Q8IVW6,ARID3B
A6NKF2,ARID3C
P29374,ARID4A
Q4LE39,ARID4B
Q03989,ARID5A
Q14865,ARID5B
Q9Y4X5,ARIH1
O95376,ARIH2
Q8N7S6,ARIH2OS
P40616,ARL1
Q8N8L6,ARL10
Q969Q4,ARL11
Q5H913,ARL13A
Q3SXY8,ARL13B
Q8N4G2,ARL14
Q8N8R7,ARL14EP
P0DKL9,ARL14EPL
Q9NXU5,ARL15
Q0P5N6,ARL16
Q8IVW1,ARL17A
P36404,ARL2
Q9Y2Y0,ARL2BP
P36405,ARL3
P40617,ARL4A
P56559,ARL4C
P49703,ARL4D
Q9Y689,ARL5A
Q96KC2,ARL5B
A6NH57,ARL5C
Q9H0F7,ARL6
Q15041,ARL6IP1
Q66PJ3,ARL6IP4
O75915,ARL6IP5
Q8N6S5,ARL6IP6
Q96BM9,ARL8A
Q9NVJ2,ARL8B
Q6T311,ARL9
Q9NVT9,ARMC1
Q8N2F6,ARMC10
Q5T9G4,ARMC12
Q8NEN0,ARMC2
Q5W041,ARMC3
Q5T2S8,ARMC4
Q96C12,ARMC5
Q6NXE6,ARMC6
Q9H6L4,ARMC7
Q8IUR7,ARMC8
Q7Z3E5,ARMC9
Q9P291,ARMCX1
Q7L311,ARMCX2
Q9UH62,ARMCX3
Q5H9R4,ARMCX4
Q6P1M9,ARMCX5
Q7L4S7,ARMCX6
Q6PIY5,ARMH1
H3BNL8,ARMH2
Q5T2E6,ARMH3
Q86TY3,ARMH4
P0C7Q2,ARMS2
Q9H993,ARMT1
P27540,ARNT
Q9HBZ2,ARNT2
O00327,ARNTL
Q8WYA1,ARNTL2
Q92747,ARPC1A
O15143,ARPC1B
O15144,ARPC2
O15145,ARPC3
P59998,ARPC4
O15511,ARPC5
Q9BPX5,ARPC5L
Q7Z6K5,ARPIN
P56211,ARPP19
Q9UBL0,ARPP21
P36575,ARR3
P49407,ARRB1
P32121,ARRB2
Q8N5I2,ARRDC1
Q9H2J1,ARRDC1-AS1
Q8TBH0,ARRDC2
Q96B67,ARRDC3
Q8NCT1,ARRDC4
A6NEK1,ARRDC5
P15289,ARSA
P15848,ARSB
P51689,ARSD
P54793,ARSF
Q96EG1,ARSG
Q5FYA8,ARSH
